bank_key,bank_name_clean,city,state_code
30128599502972,First National Bank of Lindsay,Lindsay,OK
253876020376088,Republic First Bank dba Republic Bank,Philadelphia,PA
156257714982801,Citizens Bank,Sac City,IA
31374915468621,Heartland Tri-State Bank,Elkhart,KS
78282939598958,First Republic Bank,San Francisco,CA
21473656683001,Signature Bank,New York,NY
192450113276614,Silicon Valley Bank,Santa Clara,CA
203863611006213,Almena State Bank,Almena,KS
226377680804306,First City Bank of Florida,Fort Walton Beach,FL
232419536782735,The First State Bank,Barboursville,WV
179100314976588,Ericson State Bank,Ericson,NE
150243485328793,City National Bank of New Jersey,Newark,NJ
9645463513230,Resolute Bank,Maumee,OH
657790161064,Louisa Community Bank,Louisa,KY
105604666905649,The Enloe State Bank,Cooper,TX
46689478298989,Washington Federal Bank for Savings,Chicago,IL
90249345647587,The Farmers and Merchants State Bank of Argonia,Argonia,KS
137594684161238,Fayette County Bank,Saint Elmo,IL
263007682825261,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI
213317146312379,First NBC Bank,New Orleans,LA
68333551338297,Proficio Bank,Cottonwood Heights,UT
209799875229142,Seaway Bank and Trust Company,Chicago,IL
223951781996117,Harvest Community Bank,Pennsville,NJ
104995087127396,Allied Bank,Mulberry,AR
205101981063515,The Woodbury Banking Company,Woodbury,GA
146986449529146,First CornerStone Bank,King of Prussia,PA
48470195798758,Trust Company Bank,Memphis,TN
53923490627893,North Milwaukee State Bank,Milwaukee,WI
28047659848104,Hometown National Bank,Longview,WA
151362816182331,The Bank of Georgia,Peachtree City,GA
59722698187730,Premier Bank,Denver,CO
251758667937166,Edgebrook Bank,Chicago,IL
22010483782372,Doral Bank,San Juan,PR
249356226028640,Capitol City Bank & Trust Company,Atlanta,GA
48491812441950,Highland Community Bank,Chicago,IL
255095359334209,First National Bank of Crestview,Crestview,FL
44990995978100,Northern Star Bank,Mankato,MN
101390295724913,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA
222174631854668,The National Republic Bank of Chicago,Chicago,IL
11639496775156,NBRS Financial,Rising Sun,MD
17208335270255,"GreenChoice Bank, fsb",Chicago,IL
40367742925410,Eastside Commercial Bank,Conyers,GA
173075166209929,The Freedom State Bank,Freedom,OK
34478586431229,Valley Bank,Fort Lauderdale,FL
278223107647932,Valley Bank,Moline,IL
244433797686213,Slavie Federal Savings Bank,Bel Air,MD
86237385239068,Columbia Savings Bank,Cincinnati,OH
214927030622167,AztecAmerica Bank,Berwyn,IL
47495518835179,Allendale County Bank,Fairfax,SC
58201752512335,Vantage Point Bank,Horsham,PA
61385561424723,"Millennium Bank, National Association",Sterling,VA
262281658734258,Syringa Bank,Boise,ID
139210722917879,The Bank of Union,El Reno,OK
184547987600054,DuPage National Bank,West Chicago,IL
35265545797914,"Texas Community Bank, National Association",The Woodlands,TX
173374105794924,Bank of Jackson County,Graceville,FL
177176665560729,First National Bank also operating as The National Bank of El Paso,Edinburg,TX
241553834917168,The Community's Bank,Bridgeport,CT
189916307407467,Sunrise Bank of Arizona,Phoenix,AZ
225454830610923,Community South Bank,Parsons,TN
175925114435420,Bank of Wausau,Wausau,WI
85759139673216,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL
43563957261970,Mountain National Bank,Sevierville,TN
108739054636623,1st Commerce Bank,North Las Vegas,NV
7776498466589,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI
217311050325668,Central Arizona Bank,Scottsdale,AZ
55788531631221,Sunrise Bank,Valdosta,GA
211476859794618,Pisgah Community Bank,Asheville,NC
220829623521329,Douglas County Bank,Douglasville,GA
202191371750603,Parkway Bank,Lenoir,NC
167693952933593,Chipola Community Bank,Marianna,FL
23996814712573,Heritage Bank of North Florida,Orange Park,FL
96553660767246,First Federal Bank,Lexington,KY
203295412792686,Gold Canyon Bank,Gold Canyon,AZ
155073302505080,Frontier Bank,LaGrange,GA
34741674723977,Covenant Bank,Chicago,IL
119415505139160,1st Regents Bank,Andover,MN
263294522238379,Westside Community Bank,University Place,WA
182039218821996,Community Bank of the Ozarks,Sunrise Beach,MO
157933470795810,Hometown Community Bank,Braselton,GA
224344460673365,Citizens First National Bank,Princeton,IL
65522460215758,Heritage Bank of Florida,Lutz,FL
109850112984984,NOVA Bank,Berwyn,PA
48717856184097,Excel Bank,Sedalia,MO
98321098910112,First East Side Savings Bank,Tamarac,FL
237625172719799,GulfSouth Private Bank,Destin,FL
234011923063420,First United Bank,Crete,IL
15520070772332,Truman Bank,St. Louis,MO
272154817045709,First Commercial Bank,Bloomington,MN
