date,date_key,year,quarter,month,month_name,year_month
1854-01-01,18540101,1854,1,1,January,1854-01
1854-01-02,18540102,1854,1,1,January,1854-01
1854-01-03,18540103,1854,1,1,January,1854-01
1854-01-04,18540104,1854,1,1,January,1854-01
1854-01-05,18540105,1854,1,1,January,1854-01
1854-01-06,18540106,1854,1,1,January,1854-01
1854-01-07,18540107,1854,1,1,January,1854-01
1854-01-08,18540108,1854,1,1,January,1854-01
1854-01-09,18540109,1854,1,1,January,1854-01
1854-01-10,18540110,1854,1,1,January,1854-01
1854-01-11,18540111,1854,1,1,January,1854-01
1854-01-12,18540112,1854,1,1,January,1854-01
1854-01-13,18540113,1854,1,1,January,1854-01
1854-01-14,18540114,1854,1,1,January,1854-01
1854-01-15,18540115,1854,1,1,January,1854-01
1854-01-16,18540116,1854,1,1,January,1854-01
1854-01-17,18540117,1854,1,1,January,1854-01
1854-01-18,18540118,1854,1,1,January,1854-01
1854-01-19,18540119,1854,1,1,January,1854-01
1854-01-20,18540120,1854,1,1,January,1854-01
1854-01-21,18540121,1854,1,1,January,1854-01
1854-01-22,18540122,1854,1,1,January,1854-01
1854-01-23,18540123,1854,1,1,January,1854-01
1854-01-24,18540124,1854,1,1,January,1854-01
1854-01-25,18540125,1854,1,1,January,1854-01
1854-01-26,18540126,1854,1,1,January,1854-01
1854-01-27,18540127,1854,1,1,January,1854-01
1854-01-28,18540128,1854,1,1,January,1854-01
1854-01-29,18540129,1854,1,1,January,1854-01
1854-01-30,18540130,1854,1,1,January,1854-01
1854-01-31,18540131,1854,1,1,January,1854-01
1854-02-01,18540201,1854,1,2,February,1854-02
1854-02-02,18540202,1854,1,2,February,1854-02
1854-02-03,18540203,1854,1,2,February,1854-02
1854-02-04,18540204,1854,1,2,February,1854-02
1854-02-05,18540205,1854,1,2,February,1854-02
1854-02-06,18540206,1854,1,2,February,1854-02
1854-02-07,18540207,1854,1,2,February,1854-02
1854-02-08,18540208,1854,1,2,February,1854-02
1854-02-09,18540209,1854,1,2,February,1854-02
1854-02-10,18540210,1854,1,2,February,1854-02
1854-02-11,18540211,1854,1,2,February,1854-02
1854-02-12,18540212,1854,1,2,February,1854-02
1854-02-13,18540213,1854,1,2,February,1854-02
1854-02-14,18540214,1854,1,2,February,1854-02
1854-02-15,18540215,1854,1,2,February,1854-02
1854-02-16,18540216,1854,1,2,February,1854-02
1854-02-17,18540217,1854,1,2,February,1854-02
1854-02-18,18540218,1854,1,2,February,1854-02
1854-02-19,18540219,1854,1,2,February,1854-02
1854-02-20,18540220,1854,1,2,February,1854-02
1854-02-21,18540221,1854,1,2,February,1854-02
1854-02-22,18540222,1854,1,2,February,1854-02
1854-02-23,18540223,1854,1,2,February,1854-02
1854-02-24,18540224,1854,1,2,February,1854-02
1854-02-25,18540225,1854,1,2,February,1854-02
1854-02-26,18540226,1854,1,2,February,1854-02
1854-02-27,18540227,1854,1,2,February,1854-02
1854-02-28,18540228,1854,1,2,February,1854-02
1854-03-01,18540301,1854,1,3,March,1854-03
1854-03-02,18540302,1854,1,3,March,1854-03
1854-03-03,18540303,1854,1,3,March,1854-03
1854-03-04,18540304,1854,1,3,March,1854-03
1854-03-05,18540305,1854,1,3,March,1854-03
1854-03-06,18540306,1854,1,3,March,1854-03
1854-03-07,18540307,1854,1,3,March,1854-03
1854-03-08,18540308,1854,1,3,March,1854-03
1854-03-09,18540309,1854,1,3,March,1854-03
1854-03-10,18540310,1854,1,3,March,1854-03
1854-03-11,18540311,1854,1,3,March,1854-03
1854-03-12,18540312,1854,1,3,March,1854-03
1854-03-13,18540313,1854,1,3,March,1854-03
1854-03-14,18540314,1854,1,3,March,1854-03
1854-03-15,18540315,1854,1,3,March,1854-03
1854-03-16,18540316,1854,1,3,March,1854-03
1854-03-17,18540317,1854,1,3,March,1854-03
1854-03-18,18540318,1854,1,3,March,1854-03
1854-03-19,18540319,1854,1,3,March,1854-03
1854-03-20,18540320,1854,1,3,March,1854-03
1854-03-21,18540321,1854,1,3,March,1854-03
1854-03-22,18540322,1854,1,3,March,1854-03
1854-03-23,18540323,1854,1,3,March,1854-03
1854-03-24,18540324,1854,1,3,March,1854-03
1854-03-25,18540325,1854,1,3,March,1854-03
1854-03-26,18540326,1854,1,3,March,1854-03
1854-03-27,18540327,1854,1,3,March,1854-03
1854-03-28,18540328,1854,1,3,March,1854-03
1854-03-29,18540329,1854,1,3,March,1854-03
1854-03-30,18540330,1854,1,3,March,1854-03
1854-03-31,18540331,1854,1,3,March,1854-03
1854-04-01,18540401,1854,2,4,April,1854-04
1854-04-02,18540402,1854,2,4,April,1854-04
1854-04-03,18540403,1854,2,4,April,1854-04
1854-04-04,18540404,1854,2,4,April,1854-04
1854-04-05,18540405,1854,2,4,April,1854-04
1854-04-06,18540406,1854,2,4,April,1854-04
1854-04-07,18540407,1854,2,4,April,1854-04
1854-04-08,18540408,1854,2,4,April,1854-04
1854-04-09,18540409,1854,2,4,April,1854-04
1854-04-10,18540410,1854,2,4,April,1854-04
1854-04-11,18540411,1854,2,4,April,1854-04
1854-04-12,18540412,1854,2,4,April,1854-04
1854-04-13,18540413,1854,2,4,April,1854-04
1854-04-14,18540414,1854,2,4,April,1854-04
1854-04-15,18540415,1854,2,4,April,1854-04
1854-04-16,18540416,1854,2,4,April,1854-04
1854-04-17,18540417,1854,2,4,April,1854-04
1854-04-18,18540418,1854,2,4,April,1854-04
1854-04-19,18540419,1854,2,4,April,1854-04
1854-04-20,18540420,1854,2,4,April,1854-04
1854-04-21,18540421,1854,2,4,April,1854-04
1854-04-22,18540422,1854,2,4,April,1854-04
1854-04-23,18540423,1854,2,4,April,1854-04
1854-04-24,18540424,1854,2,4,April,1854-04
1854-04-25,18540425,1854,2,4,April,1854-04
1854-04-26,18540426,1854,2,4,April,1854-04
1854-04-27,18540427,1854,2,4,April,1854-04
1854-04-28,18540428,1854,2,4,April,1854-04
1854-04-29,18540429,1854,2,4,April,1854-04
1854-04-30,18540430,1854,2,4,April,1854-04
1854-05-01,18540501,1854,2,5,May,1854-05
1854-05-02,18540502,1854,2,5,May,1854-05
1854-05-03,18540503,1854,2,5,May,1854-05
1854-05-04,18540504,1854,2,5,May,1854-05
1854-05-05,18540505,1854,2,5,May,1854-05
1854-05-06,18540506,1854,2,5,May,1854-05
1854-05-07,18540507,1854,2,5,May,1854-05
1854-05-08,18540508,1854,2,5,May,1854-05
1854-05-09,18540509,1854,2,5,May,1854-05
1854-05-10,18540510,1854,2,5,May,1854-05
1854-05-11,18540511,1854,2,5,May,1854-05
1854-05-12,18540512,1854,2,5,May,1854-05
1854-05-13,18540513,1854,2,5,May,1854-05
1854-05-14,18540514,1854,2,5,May,1854-05
1854-05-15,18540515,1854,2,5,May,1854-05
1854-05-16,18540516,1854,2,5,May,1854-05
1854-05-17,18540517,1854,2,5,May,1854-05
