date_key,recession_flag
18541201,1
18550101,0
18550201,0
18550301,0
18550401,0
18550501,0
18550601,0
18550701,0
18550801,0
18550901,0
18551001,0
18551101,0
18551201,0
18560101,0
18560201,0
18560301,0
18560401,0
18560501,0
18560601,0
18560701,0
18560801,0
18560901,0
18561001,0
18561101,0
18561201,0
18570101,0
18570201,0
18570301,0
18570401,0
18570501,0
18570601,0
18570701,1
18570801,1
18570901,1
18571001,1
18571101,1
18571201,1
18580101,1
18580201,1
18580301,1
18580401,1
18580501,1
18580601,1
18580701,1
18580801,1
18580901,1
18581001,1
18581101,1
18581201,1
18590101,0
18590201,0
18590301,0
18590401,0
18590501,0
18590601,0
18590701,0
18590801,0
18590901,0
18591001,0
18591101,0
18591201,0
18600101,0
18600201,0
18600301,0
18600401,0
18600501,0
18600601,0
18600701,0
18600801,0
18600901,0
18601001,0
18601101,1
18601201,1
18610101,1
18610201,1
18610301,1
18610401,1
18610501,1
18610601,1
18610701,0
18610801,0
18610901,0
18611001,0
18611101,0
18611201,0
18620101,0
18620201,0
18620301,0
18620401,0
18620501,0
18620601,0
18620701,0
18620801,0
18620901,0
18621001,0
18621101,0
18621201,0
18630101,0
18630201,0
18630301,0
18630401,0
18630501,0
18630601,0
18630701,0
18630801,0
18630901,0
18631001,0
18631101,0
18631201,0
18640101,0
18640201,0
18640301,0
18640401,0
18640501,0
18640601,0
18640701,0
18640801,0
18640901,0
18641001,0
18641101,0
18641201,0
18650101,0
18650201,0
18650301,0
18650401,0
18650501,1
18650601,1
18650701,1
18650801,1
18650901,1
18651001,1
18651101,1
18651201,1
18660101,1
18660201,1
18660301,1
18660401,1
18660501,1
18660601,1
18660701,1
18660801,1
18660901,1
18661001,1
18661101,1
18661201,1
18670101,1
18670201,1
18670301,1
18670401,1
18670501,1
18670601,1
18670701,1
18670801,1
18670901,1
18671001,1
18671101,1
18671201,1
18680101,0
18680201,0
18680301,0
18680401,0
18680501,0
18680601,0
18680701,0
18680801,0
18680901,0
18681001,0
18681101,0
18681201,0
18690101,0
18690201,0
18690301,0
18690401,0
18690501,0
18690601,0
18690701,1
18690801,1
18690901,1
18691001,1
18691101,1
18691201,1
18700101,1
18700201,1
18700301,1
18700401,1
18700501,1
18700601,1
