bank_name,city,state,cert,acquiring_institution,closing_date,fund,geo_key,date_key,bank_key
First National Bank of Lindsay,Lindsay,OK,4134,First Bank & Trust Co.,18-Oct-24,10547,USA-OK,20241018,30128599502972
Republic First Bank dba Republic Bank,Philadelphia,PA,27332,"Fulton Bank, National Association",26-Apr-24,10546,USA-PA,20240426,253876020376088
Citizens Bank,Sac City,IA,8758,Iowa Trust & Savings Bank,3-Nov-23,10545,USA-IA,20231103,156257714982801
Heartland Tri-State Bank,Elkhart,KS,25851,"Dream First Bank, N.A.",28-Jul-23,10544,USA-KS,20230728,31374915468621
First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",1-May-23,10543,USA-CA,20230501,78282939598958
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",12-Mar-23,10540,USA-NY,20230312,21473656683001
Silicon Valley Bank,Santa Clara,CA,24735,First–Citizens Bank & Trust Company,10-Mar-23,10539,USA-CA,20230310,192450113276614
Almena State Bank,Almena,KS,15426,Equity Bank,23-Oct-20,10538,USA-KS,20201023,203863611006213
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",16-Oct-20,10537,USA-FL,20201016,226377680804306
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",3-Apr-20,10536,USA-WV,20200403,232419536782735
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,14-Feb-20,10535,USA-NE,20200214,179100314976588
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,1-Nov-19,10534,USA-NJ,20191101,150243485328793
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,25-Oct-19,10533,USA-OH,20191025,9645463513230
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,25-Oct-19,10532,USA-KY,20191025,657790161064
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,10531,USA-TX,20190531,105604666905649
